                 Class     Images  Instances	   P          R          mAP50	  mAP50-95
Staffordshire_bullterrier       4116         22      0.126       0.19      0.146      0.117
       Standard_poodle       4116         30      0.101     0.0667      0.161      0.128
    Standard_schnauzer       4116         35      0.308      0.114      0.175       0.16
        Sussex_spaniel       4116         35      0.446      0.686      0.694      0.642
       Tibetan_mastiff       4116         24      0.362      0.458      0.434      0.388
       Tibetan_terrier       4116         36      0.344        0.5      0.484      0.427
            Toy_poodle       4116         29      0.361      0.483      0.382      0.342
           Toy_terrier       4116         37      0.327      0.405      0.301      0.256
                Vizsla       4116         44      0.466      0.614      0.429      0.385
          Walker_hound       4116         34      0.403      0.516      0.395      0.338
            Weimaraner       4116         41      0.451      0.512      0.465      0.363
Welsh_springer_spaniel       4116         33      0.346      0.455      0.372      0.322
West_Highland_white_terrier       4116         24      0.377      0.833      0.652      0.546
               Whippet       4116         45      0.212      0.178      0.223      0.163
Wire-haired_fox_terrier       4116         22      0.284      0.364      0.375      0.337
     Yorkshire_terrier       4116         35      0.142      0.236      0.132      0.111
